date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:21	92895/92895	---M--	200	added ('OK')	image/jpeg	etag:%2203b81f4cabd61:0%22	http://sale.fico-ytl.com/Content/Images/Websale812x375.jpg	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/Websale812x375.jpg	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:37	198997/198997	---M--	200	added ('OK')	image/jpeg	etag:%22095e3114cabd61:0%22	http://sale.fico-ytl.com/Content/Images/Websale768x1024.jpg	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/Websale768x1024.jpg	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:03	330449/330449	---M--	200	added ('OK')	image/jpeg	etag:%2203b81f4cabd61:0%22	http://sale.fico-ytl.com/Content/Images/Websale1024x1366.jpg	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/Websale1024x1366.jpg	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:06	274146/274146	---M--	200	added ('OK')	image/jpeg	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/home1.jpg	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/home1.jpg	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:13	412284/412284	---M--	200	added ('OK')	image/jpeg	etag:%2203b81f4cabd61:0%22	http://sale.fico-ytl.com/Content/Images/Websale1920x900.jpg	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/Websale1920x900.jpg	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:17	185664/185664	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2029%20Dec%202025%2005:03:07%20GMT	http://sale.fico-ytl.com/bundles/jquery?v=73xrncOykcUHDQFCTtc2DId3Cp83MpBtfgdMoaF0rsQ1	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/bundles/jquery5140	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:18	0/0	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2029%20Dec%202025%2005:03:19%20GMT	http://sale.fico-ytl.com/bundles/jqueryval?v=	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/bundles/jqueryvalec92	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:29	52310/52310	---MC-	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2000:44:26%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/xmtd/www.google-analytics.com/analytics.js	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:29	64363/64363	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2029%20Dec%202025%2005:03:14%20GMT	http://sale.fico-ytl.com/bundles/bootstrap?v=1aGZTUgdw2udfLj5aSCTOqKi3ylMTlI1lMd1hXVsYa01	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/bundles/bootstrap2c63	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:03:30	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Dec%202025%2005:03:31%20GMT	http://sale.fico-ytl.com/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/cdn-cgi/challenge-platform/scripts/jsd/main.17.delayed	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
